cluster,language,query,intent,priority,target_url,source,checked_on,volume,note
brand,ru,MBStudio Кишинёв,navigation,P1,https://mbstudio.scena.life/ru/,MBStudio public page content and supported flows,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
brand,ru,Маша Бараночникова,navigation,P1,https://mbstudio.scena.life/ru/,MBStudio public page content and supported flows,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
brand,ro,MBStudio Chișinău,navigation,P1,https://mbstudio.scena.life/ro/,MBStudio public page content and supported flows,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
brand,ro,Masha Baranocinikova,navigation,P1,https://mbstudio.scena.life/ro/,MBStudio public page content and supported flows,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
brand,en,MBStudio Chisinau,navigation,P1,https://mbstudio.scena.life/en/,MBStudio public page content and supported flows,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
brand,en,Masha Baranochnikova,navigation,P1,https://mbstudio.scena.life/en/,MBStudio public page content and supported flows,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
makeup,ru,макияж Кишинёв,local-commercial,P1,https://mbstudio.scena.life/ru/makiyazh/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
makeup,ru,визажист Кишинёв,local-commercial,P1,https://mbstudio.scena.life/ru/makiyazh/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
makeup,ro,machiaj Chișinău,local-commercial,P1,https://mbstudio.scena.life/ro/machiaj/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
makeup,ro,makeup artist Chișinău,local-commercial,P1,https://mbstudio.scena.life/ro/machiaj/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
makeup,en,makeup artist Chisinau,local-commercial,P1,https://mbstudio.scena.life/en/makeup/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
makeup,en,makeup services Chisinau,local-commercial,P1,https://mbstudio.scena.life/en/makeup/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
day,ru,дневной макияж Кишинёв,service-comparison,P1,https://mbstudio.scena.life/ru/makiyazh/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
day,ru,дневной макияж цена,service-comparison,P1,https://mbstudio.scena.life/ru/makiyazh/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
day,ro,machiaj de zi Chișinău,service-comparison,P1,https://mbstudio.scena.life/ro/machiaj/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
day,ro,machiaj de zi preț,service-comparison,P1,https://mbstudio.scena.life/ro/machiaj/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
day,en,daytime makeup Chisinau,service-comparison,P1,https://mbstudio.scena.life/en/makeup/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
day,en,day makeup price Chisinau,service-comparison,P1,https://mbstudio.scena.life/en/makeup/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
evening,ru,вечерний макияж Кишинёв,service-comparison,P1,https://mbstudio.scena.life/ru/makiyazh/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
evening,ru,макияж на мероприятие Кишинёв,service-comparison,P1,https://mbstudio.scena.life/ru/makiyazh/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
evening,ro,machiaj de seară Chișinău,service-comparison,P1,https://mbstudio.scena.life/ro/machiaj/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
evening,ro,machiaj eveniment Chișinău,service-comparison,P1,https://mbstudio.scena.life/ro/machiaj/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
evening,en,evening makeup Chisinau,service-comparison,P1,https://mbstudio.scena.life/en/makeup/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
evening,en,event makeup Chisinau,service-comparison,P1,https://mbstudio.scena.life/en/makeup/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
bridal,ru,свадебный макияж Кишинёв,service-comparison,P1,https://mbstudio.scena.life/ru/makiyazh/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
bridal,ru,макияж невесты Кишинёв,service-comparison,P1,https://mbstudio.scena.life/ru/makiyazh/,https://visage.md/ ; https://beautyavenue.md/make-up/ ; https://baco.md/cursuri/auto-machiaj/,2026-09-16,not measured,Intent hypothesis; no fabricated search volume or rank.
